3,"1Time Airline",\N,"1T","RNX","NEXTIME","South Africa","Y"
10,"40-Mile Air",\N,"Q5","MLA","MILE-AIR","United States","Y"
13,"Ansett Australia",\N,"AN","AAA","ANSETT","Australia","Y"
21,"Aigle Azur",\N,"ZI","AAF","AIGLE AZUR","France","Y"
22,"Aloha Airlines",\N,"AQ","AAH","ALOHA","United States","Y"
24,"American Airlines",\N,"AA","AAL","AMERICAN","United States","Y"
28,"Asiana Airlines",\N,"OZ","AAR","ASIANA","Republic of Korea","Y"
29,"Askari Aviation",\N,"4K","AAS","AL-AAS","Pakistan","Y"
32,"Afriqiyah Airways",\N,"8U","AAW","AFRIQIYAH","Libya","Y"
42,"ABSA - Aerolinhas Brasileiras",\N,"M3","TUS","ABSA Cargo","Brazil","Y"
55,"Astral Aviation",\N,"8V","ACP","ASTRAL CARGO","Kenya","Y"
72,"Ada Air",\N,"ZY","ADE","ADA AIR","Albania","Y"
83,"Adria Airways",\N,"JP","ADR","ADRIA","Slovenia","Y"
90,"Air Europa",\N,"UX","AEA","EUROPA","Spain","Y"
93,"Aero Benin",\N,"EM","AEB","AEROBEN","Benin","Y"
96,"Aegean Airlines",\N,"A3","AEE","AEGEAN","Greece","Y"
106,"Air Europe",\N,"PE","AEL","AIR EUROPE","Italy","Y"
109,"Alaska Central Express",\N,"KO","AER","ACE AIR","United States","Y"
112,"Astraeus",\N,"5W","AEU","FLYSTAR","United Kingdom","Y"
114,"Aerosvit Airlines",\N,"VV","AEW","AEROSVIT","Ukraine","Y"
116,"Air Italy",\N,"I9","AEY","AIR ITALY","Italy","Y"
120,"Alliance Airlines",\N,"QQ","UTY","UNITY","Australia","Y"
125,"Ariana Afghan Airlines",\N,"FG","AFG","ARIANA","Afghanistan","Y"
130,"Aeroflot Russian Airlines",\N,"SU","AFL","AEROFLOT","Russia","Y"
132,"Air Bosna",\N,"JA","BON","AIR BOSNA","Bosnia and Herzegovina","Y"
137,"Air France",\N,"AF","AFR","AIRFRANS","France","Y"
139,"Air Caledonie International",\N,"SB","ACI","AIRCALIN","France","Y"
149,"Air Cargo Carriers",\N,"2Q","SNC","NIGHT CARGO","United States","Y"
153,"Air Namibia",\N,"SW","NMB","NAMIBIA","Namibia","Y"
165,"Aerolitoral",\N,"5D","SLI","COSTERA","Mexico","Y"
174,"Air Glaciers",\N,"7T","AGV","AIR GLACIERS","Switzerland","Y"
179,"Aeroper",\N,"PL","PLI","Aeroperu","Peru","Y"
180,"Atlas Blue",\N,"8A","BMM","ATLAS BLUE","Morocco","Y"
197,"Azerbaijan Airlines",\N,"J2","AHY","AZAL","Azerbaijan","Y"
198,"Avies",\N,"U3","AIA","AVIES","Estonia","Y"
208,"Airblue",\N,"ED","ABQ","PAKBLUE","Pakistan","Y"
214,"Air Berlin",\N,"AB","BER","AIR BERLIN","Germany","Y"
218,"Air India Limited",\N,"AI","AIC","AIRINDIA","India","Y"
220,"Air Bourbon",\N,"ZB","BUB","BOURBON","Reunion","Y"
221,"Air Atlanta Icelandic",\N,"CC","ABD","ATLANTA","Iceland","Y"
225,"Air Tahiti Nui",\N,"TN","THT","TAHITI AIRLINES","France","Y"
231,"Arkia Israel Airlines",\N,"IZ","AIZ","ARKIA","Israel","Y"
239,"Air Jamaica",\N,"JM","AJM","JAMAICA","Jamaica","Y"
240,"Air One",\N,"AP","ADH","HERON","Italy","Y"
241,"Air Sahara",\N,"S2","RSH","SAHARA","India","Y"
242,"Air Malta",\N,"KM","AMC","AIR MALTA","Malta","Y"
250,"Air Japan",\N,"NQ","AJX","AIR JAPAN","Japan","Y"
281,"America West Airlines",\N,"HP","AWE","CACTUS","United States","Y"
282,"Air Wisconsin",\N,"ZW","AWI","AIR WISCONSIN","United States","Y"
286,"Tatarstan Airlines",\N,"U9","TAK","TATARSTAN","Russia","Y"
306,"Air Malawi",\N,"QM","AML","MALAWI","Malawi","Y"
315,"ATA Airlines",\N,"","AMT","AMTRAN","United States","Y"
316,"Air Macau",\N,"NX","AMU","AIR MACAO","Macao","Y"
319,"Air Seychelles",\N,"HM","SEY","SEYCHELLES","Seychelles","Y"
321,"AeroMéxico",\N,"AM","AMX","AEROMEXICO","Mexico","Y"
324,"All Nippon Airways","ANA All Nippon Airways","NH","ANA","ALL NIPPON","Japan","Y"
327,"Air Nostrum",\N,"YW","ANE","AIR NOSTRUM","Spain","Y"
328,"Air Niugini",\N,"PX","ANG","NUIGINI","Papua New Guinea","Y"
329,"Air Arabia",\N,"G9","ABY","ARABIA","United Arab Emirates","Y"
330,"Air Canada",\N,"AC","ACA","AIR CANADA","Canada","Y"
333,"Air Baltic",\N,"BT","BTI","AIRBALTIC","Latvia","Y"
336,"Air Nippon",\N,"EL","ANK","ANK AIR","Japan","Y"
338,"Airnorth",\N,"TL","ANO","TOPEND","Australia","Y"
341,"Air North Charter - Canada",\N,"4N","ANT","AIR NORTH","Canada","Y"
345,"Air New Zealand",\N,"NZ","ANZ","NEW ZEALAND","New Zealand","Y"
371,"Alitalia Express",\N,"XM","SMX","ALIEXPRESS","Italy","Y"
386,"Aero Flight",\N,"GV","ARF","Aero Fox","Germany","Y"
397,"Arrow Air",\N,"JW","APW","BIG A","United States","Y"
410,"Aerocondor",\N,"2B","ARD","AEROCONDOR","Portugal","Y"
411,"Aires",\N,"4C","ARE","Aerovias de Integracion Regional","S.A.","Y"
412,"Aerolineas Argentinas",\N,"AR","ARG","ARGENTINA","Argentina","Y"
439,"Alaska Airlines",\N,"AS","ASA"," Inc.","ALASKA","Y"
442,"Air Sinai",\N,"4D","ASD","AIR SINAI","Egypt","Y"
452,"Atlantic Southeast Airlines",\N,"EV","ASQ","ACEY","United States","Y"
462,"Astrakhan Airlines",\N,"OB","ASZ","AIR ASTRAKHAN","Russia","Y"
465,"Air Tanzania",\N,"TC","ATC","TANZANIA","Tanzania","Y"
470,"Air Burkina",\N,"2J","VBW","BURKINA","Burkina Faso","Y"
476,"Airlines Of Tasmania",\N,"FO","ATM","AIRTAS","Australia","Y"
477,"Air Saint Pierre",\N,"PJ","SPM","","France","Y"
491,"Austrian Airlines",\N,"OS","AUA","AUSTRIAN","Austria","Y"
